Food Item,Category,Meal Type,Cuisine Region,Calories (kcal),Carbohydrates (g),Proteins (g),Fats (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Vitamin A (µg),Vitamin C (mg),Vitamin B12 (µg),Serving Size (g/ml),Dietary Preference,Preparation Time (minutes),Veg/Non-Veg,Preferred For,Cheat Meal
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,319,32,29,8,-4,144,6.0,9.5,99,41,19,115.0,181,Weight Loss,-5,Non-Veg,General Fitness,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,441,45,46,16,3,257,3.0,0.8,176,61,6,197.0,281,Muscle Gain,15,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,441,35,60,18,9,255,12.0,1.8,171,66,8,200.0,277,Muscle Gain,10,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,443,38,45,16,10,268,-2.0,-0.19999999999999996,178,64,11,198.0,271,Muscle Gain,12,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,452,49,48,22,5,254,6.0,-6.2,186,64,16,200.0,272,Muscle Gain,16,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,325,21,16,-2,12,149,-2.0,3.5,92,40,1,124.0,173,Weight Loss,13,Non-Veg,General Fitness,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,289,18,38,0,2,176,-1.0,-2.7,91,38,7,148.0,209,Weight Loss,-4,Veg,General Fitness,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,443,35,52,3,-2,253,0.0,4.8,176,62,11,198.0,273,Muscle Gain,17,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,304,21,31,1,5,218,9.0,-7.9,130,63,19,171.0,251,General Fitness,8,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,474,29,50,8,6,241,3.0,10.8,160,73,18,210.0,279,Muscle Gain,24,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,427,28,59,16,16,209,2.0,-3.0,121,50,19,183.0,232,Muscle Gain,9,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,422,26,60,13,16,205,5.0,6.0,121,61,16,170.0,231,Muscle Gain,15,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,413,39,62,18,14,207,14.0,4.0,136,57,13,186.0,242,Muscle Gain,18,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,423,28,47,25,16,190,12.0,-5.0,126,62,13,183.0,248,Muscle Gain,10,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,320,32,21,7,14,151,10.0,0.5,109,53,10,130.0,177,Weight Loss,12,Non-Veg,General Fitness,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,421,54,23,23,2,229,-3.0,-5.3,160,63,3,181.0,232,Muscle Gain,8,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,418,34,62,5,3,194,-6.0,-8.0,133,58,5,185.0,231,Muscle Gain,13,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,293,13,48,18,2,210,14.0,8.1,140,54,8,185.0,249,General Fitness,7,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,418,27,57,7,8,198,4.0,-8.0,121,62,13,175.0,243,Muscle Gain,11,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,330,26,16,14,3,143,1.0,-1.5,91,44,18,121.0,175,Weight Loss,-2,Non-Veg,General Fitness,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,278,27,27,2,2,173,2.0,0.30000000000000004,99,42,6,133.0,206,Weight Loss,8,Veg,General Fitness,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,426,50,35,20,16,238,11.0,-2.3,166,53,14,174.0,233,Muscle Gain,20,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,399,33,42,4,2,193,0.0,-6.3,130,54,3,158.0,227,Muscle Gain,4,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,410,58,22,25,5,223,12.0,2.7,151,50,9,182.0,241,Muscle Gain,15,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,425,58,24,7,11,223,5.0,-6.3,169,60,16,175.0,232,Muscle Gain,11,Non-Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,370,25,55,17,13,230,0.0,1.6,144,60,15,165.0,244,Muscle Gain,20,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,410,31,57,20,2,194,14.0,1.0,128,64,0,183.0,232,Muscle Gain,14,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,420,54,23,15,13,223,11.0,-6.3,169,64,11,170.0,249,Muscle Gain,2,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,291,26,43,19,16,200,-1.0,-1.9,140,53,0,175.0,247,General Fitness,-5,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,319,17,28,3,7,141,4.0,-1.5,109,48,6,114.0,188,Weight Loss,3,Non-Veg,General Fitness,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,330,21,19,-2,14,143,11.0,-0.5,105,39,19,124.0,179,Weight Loss,10,Non-Veg,General Fitness,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,425,50,22,7,11,239,7.0,-2.3,150,58,3,179.0,246,Muscle Gain,1,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,320,17,12,14,-4,154,-4.0,-3.5,100,43,19,115.0,182,Weight Loss,-5,Non-Veg,General Fitness,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,385,36,59,2,5,180,0.0,11.7,134,60,17,156.0,210,Muscle Gain,5,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,472,48,47,22,-2,244,10.0,11.8,151,67,19,196.0,267,Muscle Gain,17,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,443,39,53,15,17,254,7.0,-2.2,179,65,17,207.0,273,Muscle Gain,7,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,452,50,62,12,3,263,11.0,6.8,176,61,16,192.0,283,Muscle Gain,16,Non-Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,274,12,31,8,16,160,5.0,-2.7,80,45,5,145.0,196,Weight Loss,9,Veg,General Fitness,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,388,39,56,12,6,215,7.0,3.6,149,73,6,178.0,231,Muscle Gain,19,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,474,35,60,9,11,253,9.0,1.8,167,62,15,195.0,271,Muscle Gain,17,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,317,27,22,10,7,145,7.0,10.5,97,42,2,124.0,179,Weight Loss,2,Non-Veg,General Fitness,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,425,56,37,20,0,236,-6.0,6.7,160,53,16,181.0,247,Muscle Gain,10,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,394,22,51,15,15,187,12.0,1.7,132,67,0,168.0,224,Muscle Gain,18,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,294,25,41,12,-2,206,-1.0,-5.9,147,50,16,186.0,242,General Fitness,13,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,386,21,43,11,0,217,2.0,9.6,148,65,6,176.0,230,Muscle Gain,12,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,379,26,41,9,3,229,12.0,7.6,160,61,7,172.0,231,Muscle Gain,11,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,320,19,12,9,12,146,10.0,-5.5,106,45,10,123.0,187,Weight Loss,12,Non-Veg,General Fitness,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,327,17,22,10,14,142,2.0,-4.5,91,47,2,118.0,177,Weight Loss,-3,Non-Veg,General Fitness,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,469,40,56,23,9,258,-7.0,9.8,163,75,5,190.0,272,Muscle Gain,17,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,329,17,10,18,9,143,13.0,-7.5,91,35,-1,120.0,173,Weight Loss,4,Non-Veg,General Fitness,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,416,52,25,12,13,229,9.0,7.7,169,63,6,188.0,250,Muscle Gain,3,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,473,38,44,15,7,247,13.0,9.8,167,75,21,202.0,263,Muscle Gain,11,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,415,48,38,12,4,235,3.0,-3.3,153,63,14,190.0,241,Muscle Gain,2,Non-Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,284,13,36,9,10,173,10.0,-8.7,94,34,10,146.0,205,Weight Loss,0,Veg,General Fitness,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,480,32,49,21,15,253,-4.0,4.8,155,69,4,192.0,276,Muscle Gain,25,Non-Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,372,32,60,8,0,227,3.0,-8.4,145,60,6,170.0,245,Muscle Gain,7,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,298,23,40,10,4,215,7.0,4.1,147,59,19,176.0,243,General Fitness,10,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,390,21,44,2,4,188,2.0,3.7,124,58,1,155.0,216,Muscle Gain,7,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,370,30,40,9,14,218,4.0,8.6,145,61,9,173.0,243,Muscle Gain,18,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,328,33,23,11,-2,142,-7.0,-8.5,97,45,17,117.0,178,Weight Loss,9,Non-Veg,General Fitness,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,317,17,25,18,1,159,-7.0,-4.5,98,42,3,113.0,170,Weight Loss,3,Non-Veg,General Fitness,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,415,33,53,16,13,201,2.0,12.0,124,59,7,176.0,243,Muscle Gain,14,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,285,26,41,0,12,175,-1.0,-1.7,98,42,8,138.0,196,Weight Loss,13,Veg,General Fitness,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,395,25,60,8,-2,197,-6.0,0.7,123,63,17,161.0,230,Muscle Gain,3,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,326,22,16,11,8,151,-6.0,-0.5,95,45,7,111.0,182,Weight Loss,14,Non-Veg,General Fitness,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,412,26,59,9,10,208,5.0,-8.0,124,58,18,180.0,236,Muscle Gain,6,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,286,21,38,8,10,177,-4.0,1.3,97,40,6,134.0,194,Weight Loss,8,Veg,General Fitness,No
Homemade Protein Bar,Vegetarian,Snacks,Western,296,23,39,5,15,212,-3.0,-5.9,139,61,1,189.0,259,General Fitness,7,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,443,47,61,5,7,257,-4.0,-4.2,177,74,19,205.0,284,Muscle Gain,13,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,444,51,49,7,16,265,14.0,-3.2,179,61,15,207.0,273,Muscle Gain,10,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,384,19,41,2,9,185,-7.0,9.7,137,64,9,167.0,228,Muscle Gain,4,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,416,28,59,14,12,195,2.0,-6.0,137,49,17,178.0,232,Muscle Gain,15,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,422,32,56,14,16,207,12.0,6.0,137,57,20,178.0,248,Muscle Gain,4,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,471,33,45,22,9,243,-5.0,-2.2,150,60,19,195.0,279,Muscle Gain,14,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,424,56,19,11,-2,224,11.0,2.7,170,65,19,178.0,239,Muscle Gain,0,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,419,31,47,14,7,201,11.0,1.0,120,52,5,172.0,237,Muscle Gain,10,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,307,23,43,9,12,216,5.0,2.1,148,64,8,176.0,250,General Fitness,-6,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,384,34,40,2,-4,182,3.0,-8.3,130,53,11,155.0,218,Muscle Gain,12,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,440,43,57,8,-2,254,9.0,-3.2,175,63,18,208.0,281,Muscle Gain,13,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,292,26,37,14,3,200,-2.0,12.1,149,46,2,182.0,257,General Fitness,10,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,466,34,50,21,3,256,11.0,8.8,157,69,9,200.0,274,Muscle Gain,17,Non-Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,284,17,31,9,6,168,7.0,-0.7,80,35,7,131.0,206,Weight Loss,-1,Veg,General Fitness,No
Homemade Protein Bar,Vegetarian,Snacks,Western,309,30,34,13,-2,214,-2.0,12.1,148,46,10,183.0,255,General Fitness,-7,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,274,14,41,18,8,164,-7.0,-3.7,85,47,1,130.0,199,Weight Loss,-1,Veg,General Fitness,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,456,32,57,21,-1,262,5.0,-1.2,174,77,11,210.0,273,Muscle Gain,15,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,393,21,54,20,10,192,-6.0,0.7,128,65,9,156.0,227,Muscle Gain,14,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,465,45,56,14,10,259,6.0,6.8,152,80,15,204.0,269,Muscle Gain,25,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,458,38,62,20,13,251,9.0,-4.2,177,74,5,208.0,273,Muscle Gain,18,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,442,35,63,17,-3,268,1.0,-1.2,173,60,4,190.0,275,Muscle Gain,11,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,476,38,54,5,-3,259,8.0,10.8,169,60,19,206.0,267,Muscle Gain,15,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,422,22,52,14,0,204,-6.0,-4.0,131,59,15,178.0,243,Muscle Gain,7,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,307,28,47,10,-4,217,3.0,-1.9,134,52,17,170.0,260,General Fitness,1,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,425,25,45,10,11,191,5.0,-2.0,136,63,6,179.0,245,Muscle Gain,0,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,273,10,26,15,2,176,5.0,-1.7,84,30,-2,134.0,190,Weight Loss,-1,Veg,General Fitness,No
Homemade Protein Bar,Vegetarian,Snacks,Western,291,23,34,1,-2,218,7.0,8.1,150,53,9,172.0,251,General Fitness,0,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,283,21,33,5,8,178,9.0,10.3,88,40,15,137.0,193,Weight Loss,5,Veg,General Fitness,No
Homemade Protein Bar,Vegetarian,Snacks,Western,297,16,37,14,13,203,4.0,-5.9,137,46,11,186.0,257,General Fitness,13,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,307,15,45,6,13,210,12.0,-1.9,131,47,12,182.0,258,General Fitness,9,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,304,26,38,16,-1,208,1.0,0.10000000000000009,134,55,7,179.0,246,General Fitness,9,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,447,49,57,4,17,253,0.0,10.8,187,78,9,192.0,278,Muscle Gain,15,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,461,32,54,7,4,243,13.0,-5.2,151,67,19,195.0,280,Muscle Gain,17,Non-Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,382,35,50,13,3,222,8.0,-8.4,144,55,6,162.0,250,Muscle Gain,6,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,410,42,24,10,0,224,-6.0,3.7,168,59,5,174.0,244,Muscle Gain,2,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,413,33,53,7,9,193,3.0,6.0,123,57,4,177.0,247,Muscle Gain,8,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,386,33,48,17,-1,214,2.0,6.6,146,70,18,170.0,235,Muscle Gain,2,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,328,27,13,14,10,153,6.0,11.5,92,55,18,112.0,178,Weight Loss,10,Non-Veg,General Fitness,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,279,13,44,1,-3,160,2.0,-8.7,99,38,2,135.0,190,Weight Loss,1,Veg,General Fitness,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,442,43,54,8,10,255,10.0,-4.2,174,63,14,199.0,278,Muscle Gain,8,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,310,12,43,1,5,206,13.0,-1.9,135,47,19,172.0,240,General Fitness,-4,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,322,29,17,16,-5,153,6.0,-8.5,109,54,7,110.0,182,Weight Loss,8,Non-Veg,General Fitness,No
Homemade Protein Bar,Vegetarian,Snacks,Western,302,23,35,17,16,203,-2.0,11.1,149,62,18,170.0,240,General Fitness,-2,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,400,23,53,9,14,184,5.0,3.7,137,58,4,150.0,218,Muscle Gain,0,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,275,19,34,13,6,179,10.0,-0.7,91,35,9,132.0,208,Weight Loss,-4,Veg,General Fitness,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,286,20,41,18,0,165,-2.0,6.3,97,47,18,130.0,202,Weight Loss,2,Veg,General Fitness,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,411,57,25,8,3,237,11.0,1.7,157,49,20,173.0,240,Muscle Gain,13,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,417,57,36,25,-4,240,3.0,-1.3,168,63,16,173.0,233,Muscle Gain,8,Non-Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,290,11,34,3,2,171,1.0,3.3,90,40,14,133.0,203,Weight Loss,-4,Veg,General Fitness,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,467,36,43,16,-1,241,3.0,11.8,168,63,2,191.0,264,Muscle Gain,10,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,411,36,59,11,17,196,7.0,10.0,124,59,4,172.0,244,Muscle Gain,1,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,315,31,15,13,14,150,4.0,7.5,100,39,17,118.0,187,Weight Loss,-1,Non-Veg,General Fitness,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,314,29,17,18,13,156,8.0,-1.5,106,51,19,117.0,181,Weight Loss,6,Non-Veg,General Fitness,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,390,33,41,16,5,197,13.0,0.7,131,51,17,160.0,227,Muscle Gain,4,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,472,44,52,15,15,245,-4.0,7.8,165,62,13,208.0,277,Muscle Gain,14,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,395,38,48,16,15,183,-7.0,6.7,137,66,1,170.0,228,Muscle Gain,-2,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,326,31,25,18,-6,142,6.0,2.5,110,42,14,111.0,184,Weight Loss,-3,Non-Veg,General Fitness,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,383,39,47,15,1,220,0.0,7.6,160,75,5,160.0,250,Muscle Gain,8,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,453,52,59,15,7,256,0.0,0.8,182,71,2,193.0,279,Muscle Gain,19,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,440,38,53,21,14,252,-6.0,1.8,174,72,2,203.0,287,Muscle Gain,10,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,383,19,43,21,-4,198,5.0,7.7,130,60,1,168.0,226,Muscle Gain,1,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,321,18,16,18,11,159,6.0,8.5,103,46,1,114.0,180,Weight Loss,-2,Non-Veg,General Fitness,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,466,28,50,17,14,252,-6.0,-0.19999999999999996,161,67,15,209.0,267,Muscle Gain,8,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,389,32,43,3,0,197,4.0,11.7,140,57,14,170.0,227,Muscle Gain,18,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,419,34,48,11,10,210,9.0,8.0,136,55,9,190.0,236,Muscle Gain,3,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,478,43,55,22,12,242,-6.0,-6.2,166,66,7,195.0,275,Muscle Gain,17,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,420,34,45,16,1,196,-4.0,3.0,131,59,2,176.0,235,Muscle Gain,14,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,330,26,27,9,-3,151,8.0,-5.5,90,46,13,111.0,172,Weight Loss,12,Non-Veg,General Fitness,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,411,29,46,20,10,209,0.0,8.0,129,45,18,184.0,247,Muscle Gain,8,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,284,17,44,12,3,171,-7.0,2.3,89,42,8,131.0,203,Weight Loss,2,Veg,General Fitness,No
Homemade Protein Bar,Vegetarian,Snacks,Western,294,13,30,20,2,203,7.0,3.1,131,60,13,171.0,241,General Fitness,-7,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,415,45,25,21,-3,240,9.0,-5.3,157,51,3,187.0,231,Muscle Gain,9,Non-Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,390,34,57,19,-5,228,3.0,8.6,155,70,8,173.0,245,Muscle Gain,12,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,270,19,31,1,15,177,9.0,-6.7,85,43,15,138.0,210,Weight Loss,6,Veg,General Fitness,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,278,21,43,11,15,162,5.0,10.3,100,41,8,132.0,194,Weight Loss,-3,Veg,General Fitness,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,410,38,47,12,17,209,0.0,-8.0,132,47,10,186.0,242,Muscle Gain,16,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,277,11,36,16,16,161,2.0,3.3,92,40,6,143.0,199,Weight Loss,12,Veg,General Fitness,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,372,34,57,20,8,220,-7.0,-5.4,142,57,17,162.0,245,Muscle Gain,16,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,460,30,42,21,-1,259,1.0,-7.2,152,73,6,205.0,277,Muscle Gain,24,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,302,25,39,14,-1,205,-1.0,6.1,144,62,6,172.0,246,General Fitness,-7,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,274,21,36,9,17,178,6.0,7.3,81,42,13,137.0,191,Weight Loss,14,Veg,General Fitness,No
Homemade Protein Bar,Vegetarian,Snacks,Western,294,28,49,9,7,207,5.0,11.1,146,61,3,170.0,257,General Fitness,-4,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,450,38,52,19,1,252,11.0,2.8,189,71,16,210.0,282,Muscle Gain,6,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,417,52,18,5,12,222,-5.0,10.7,160,54,5,187.0,237,Muscle Gain,0,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,314,16,21,18,5,155,-3.0,10.5,103,36,5,113.0,170,Weight Loss,14,Non-Veg,General Fitness,No
